Désignation article;Désignation famille;Désignation sous famille;Article;Prix VENTE;Stock en UV;Code TVA
FORFAIT MONTAGE COMPRENANT :  	SERVICES                      	SERVICES FRAIS                	2255	140	0	2
FRAIS DE DEPLACEMENTS         	SERVICES                      	SERVICES FRAIS                	2256	83.3334	-4	2
MANO BOUTEILLE DOUBLE SORTIE  	MATERIELS                     	MATERIEL VENTE                	2257	150.65	-1	2
FRAIS DE LIVRAISON + REPRISE  	SERVICES                      	SERVICES FRAIS                	2258	41.6667	-62	2
FRAIS DE REJET DE TRAITE      	SERVICES                      	SERVICES FRAIS                	2259	20.6	-44	2
FRAIS DE REMISE               	SERVICES                      	SERVICES FRAIS                	2260	41.6675	0	2
FRAIS MAIN D'OEUVRE           	SERVICES                      	SERVICES FRAIS                	2262	41.667	0	2
LOCATION COMPTOIR ABRI FACIL  	SERVICES                      	SERVICES LOCATIONS            	2264	8.3233	-24	2
LOC TENTE ABRI FACI 4X4+4 LEST	SERVICES                      	SERVICES LOCATIONS            	2265	79.584	0	2
LOCATION TENTE ABRI 4X8+ LESTS	SERVICES                      	SERVICES LOCATIONS            	2266	189.6	0	2
LOCATION BACHE ROUGE 3C ABS   	SERVICES                      	SERVICES LOCATIONS            	2267	8.334	-2	2
LOCATION BUVETTE HEXAGONALE   	SERVICES                      	SERVICES LOCATIONS            	2268	62.5	0	2
LOCATION CAMION FRIGO 3T5     	SERVICES                      	SERVICES LOCATIONS            	2269	410.8333	-1	2
LOCATION CHAISE PLASTIQUE     	SERVICES                      	SERVICES LOCATIONS            	2270	1.25	-226	2
LOCATION COMPTOIRS ABS 2M     	SERVICES                      	SERVICES LOCATIONS            	2271	8.3334	24	2
FRAIS PICKING                 	SERVICES                      	SERVICES FRAIS                	2272	25	21	2
LOCATION FRIGO 300 BOITES     	SERVICES                      	SERVICES LOCATIONS            	2273	20.8333	-10	2
LOCATION MACHINE A CAFE 10L   	SERVICES                      	SERVICES LOCATIONS            	2275	16.6666	-13	2
LOCATION MACHINE 2 TIRAGES    	SERVICES                      	SERVICES LOCATIONS            	2276	20.8333	-9	2
LOCATION MACHINE 1 TIRAGE     	SERVICES                      	SERVICES LOCATIONS            	2277	20.8333	-49	2
LOCATION REMORQUE FRIGO       	SERVICES                      	SERVICES LOCATIONS            	2278	350	-4	2
LOCATION TABLE RONDE PVC      	SERVICES                      	SERVICES LOCATIONS            	2279	1.6666	-59	2
LOCATION TABLE CARRE PVC      	SERVICES                      	SERVICES LOCATIONS            	2280	1.6666	-15	2
LOCATION TETE CREUSE          	SERVICES                      	SERVICES LOCATIONS            	2281	130	-33	2
SANITATION 1T PRESSION CHEZ OB	SERVICES                      	SERVICES TECHNIQUES           	2285	50	-3	2
SANITATION 1/2 T PRESSION EXT.	SERVICES                      	SERVICES TECHNIQUES           	2286	66.6675	-153	2
LOCATION TETE PLATE           	SERVICES                      	SERVICES LOCATIONS            	2294	130	-69	2
LOCATION TETE KEYKEG          	SERVICES                      	SERVICES LOCATIONS            	2295	130	-68	2
LOCATION TETE TRAPPE          	SERVICES                      	SERVICES LOCATIONS            	2296	130	-2	2
RH MILLONARIO SOLERA 15A 70CL 	ALCOOL                        	RHUMS TIERS                   	2304	33.1	1	2
CARPANO ANTICA FORMULA 100CL  	ALCOOL                        	VERMOUTHS                     	2308	23.7841	9	2
ABSINTHES MORAND 70 CL        	ALCOOL                        	ABSINTHES                     	2313	32.9815	4	2
AMER CYNAR 100CL              	ALCOOL                        	LIQUEURS CREMES               	2318	17.5	7	2
VODKA ABSOLUT 70CL            	ALCOOL                        	VODKA                         	2324	15	0	2
MEZCAL REY ZAPOTECO BIO 50CL  	ALCOOL                        	TEQUILA                       	2331	29.7405	0	2
CAMPLAZENS IGP OC GRENACHE75CL	VINS                          	IGP OC                        	2358	5.2504	56	2
CAMPLAZENS MARSELAN RGE 75CL  	VINS                          	IGP OC                        	2359	5.4	2	2
CAMPLAZENS SYRAH 75CL         	VINS                          	AOP LIMOUX                    	2360	5.4	81	2
CAMPLAZENS VIOGNIER BLC 75CL  	VINS                          	IGP COTEAUX NARBONNE          	2361	5.872499871254	237	2
BIB 10L GAYREL ROUGE          	VINS                          	COTES DU TARN                 	2363	21.5	32	2
BIB 10L GAYREL ROSE           	VINS                          	COTES DU TARN                 	2364	21.5	5	2
SAC REUTILISABLE 45X45X22     	ARTICLES DIVERS               	SACS REUTILISABES             	2365	0.25	0	2
PROSECCO RICCADONNA 75CL      	VINS                          	VIN MOUSSEUX DE QUALITE       	2374	7.5	1	2
CHAMP TRICHET AUTH BRUT 75CL  	VINS                          	CHAMPAGNE                     	2376	19.7	17	2
CHAMP TRICHET AUTH ROSE 75CL  	VINS                          	CHAMPAGNE                     	2377	19.5	13	2
CH TRICHET HERITAGE 1E CRU 75C	VINS                          	CHAMPAGNE                     	2378	23	30	2
CH TRICHET AUTH DEMI-SEC 75CL 	VINS                          	CHAMPAGNE                     	2379	19.7	12	2
CHAMP TRICHET AUTH BRUT 37.5CL	VINS                          	CHAMPAGNE                     	2380	11.7	31	2
BASQUELAND IMPARABLE 30L K    	BIERES                        	BIERE FUT 30L                 	2403	4.477544975281	510	2
BIOLEGERE DUPONT 20L          	BIERES                        	BIERE FUT 20L                 	2426	3.64	20	2
SAS PILS 25 VC                	BIERES                        	BIERE 25CL VC                 	2445	0.55	2654	2
CAMPARI LIQUEUR AMERE 100CL   	ALCOOL                        	LIQUEURS CREMES               	2464	20.05	4	2
BASQ IMPARABLE 33VP BOUTEILLE 	BIERES                        	BIERE 20/25/33/35CL VP        	2465	2.078004012108	181	2
HANSSENS LAMB RASPBERRY 37.5VP	BIERES                        	BIERE 37.5CL                  	2551	4.579112150669	0	2
HANSSENS OUDBEITJE 37.5VP     	BIERES                        	BIERE 37.5CL                  	2552	3.782924852371	3	2
HANSSENS SCHAARB KRIEK 37,5VP 	BIERES                        	BIERE 37.5CL                  	2553	5.501979002953	10	2
CUVEE DE RANKE 75VC           	BIERES                        	BIERE 75VC                    	2558	5.662979865074	54	2
LIVINUS BLONDE 75VC           	BIERES                        	BIERE 75VC                    	2559	3.095119905472	97	2
LUPULUS ORGANICUS BIO 75VC    	BIERES                        	BIERE 75VC                    	2560	4.098714959621	57	2
CAROLUS WHISKY INFUSED 75VP   	BIERES                        	BIERE 75VP                    	2563	7.536977210045	0	2
LINDEMANS SPONTANBASIL 75VP   	BIERES                        	BIERE 75VP                    	2568	9.54074819088	197	2
STRAFFE HENDRIK HERITAGE 75VP 	BIERES                        	BIERE 75VP                    	2569	12.3	-1	2
TRAPPE QUADRUPLE OAK A 37.5VP 	BIERES                        	BIERE 37.5CL                  	2604	8.98743	18	2
BROOKLYN FRAMBOISIE SOUR 75VP 	BIERES                        	BIERE 75VP                    	2606	15.754	18	2
FRAIS DE LIVRAISON ALLER      	SERVICES                      	SERVICES FRAIS                	2609	20.8334	0	2
CAISSE BOIS 8X33CL 1/2 VIDE   	ARTICLES DIVERS               	CORBEILLES - COFFRETS- CARTONS	2629	4.615	49	2
CAISSE BOIS 8*33CL LARGE      	ARTICLES DIVERS               	CORBEILLES - COFFRETS- CARTONS	2630	4.9	60	2
CAISSE BOIS VIDE HEXA 7X25CL  	ARTICLES DIVERS               	CORBEILLES - COFFRETS- CARTONS	2631	5.1	27	2
LOCATION TETE GUINNESS        	SERVICES                      	SERVICES LOCATIONS            	2648	130	-2	2
LOCATION TETE TRIANGULAIRE    	SERVICES                      	SERVICES LOCATIONS            	2649	130	-17	2
CAMPLAZENS RESERVE ROUGE 75CL 	VINS                          	LA CLAPE                      	2681	8.5	5	2
OUROBOROS STRONGGUS NOIRE 33VP	BIERES                        	BIERE 20/25/33/35CL VP        	2689	2.347375005484	15	2
SAINTE CRU WHITE RABBIT 33VP  	BIERES                        	BIERE 20/25/33/35CL VP        	2696	1.908060021401	0	2
SAINTE CRU ORANGE MECANIQ 33VP	BIERES                        	BIERE 20/25/33/35CL VP        	2697	2.018940008879	0	2
GUE MOINES SERIE NOIRE 15L    	BIERES                        	BIERE FUT 10L/15L             	2709	3.75	60	2
FRAIS LIVRAISON               	SERVICES                      	SERVICES FRAIS                	2798	45	2	2
EDGE B 6 BARREL IMP STOUT 20LK	BIERES                        	BIERE FUT 20L                 	2836	6.25	20	2
FRAIS NETTOYAGE MACHINE A CAFE	SERVICES                      	NETTOYAGE                     	2870	16.6667	-5	2
REFACTURATION BACHE ROUGE ABS 	MATERIELS                     	MATERIEL VENTE                	2880	80	-1	2
PIECE DETACHEE CPTOIR P/TENTE 	MATERIELS                     	MATERIEL VENTE                	2889	4.1666	-10	2
CARTON VIDE 24X33 HAUTE       	ARTICLES DIVERS               	CORBEILLES - COFFRETS- CARTONS	2895	0.75	0	2
CARTON VIDE 24X33 BASSE       	ARTICLES DIVERS               	CORBEILLES - COFFRETS- CARTONS	2896	0.8	0	2
CARTON VIDE 24X25 HAUTE       	ARTICLES DIVERS               	CORBEILLES - COFFRETS- CARTONS	2897	0.7	0	2
CARTON VIDE 20X37,5           	ARTICLES DIVERS               	CORBEILLES - COFFRETS- CARTONS	2900	0.85	0	2
TETE CREUSE MICRO MATIC       	MATERIELS                     	VENTE MATERIEL MOBILE         	2903	139.44	25	2
TETE PLATE ALUMASC JG3/8 GUEST	MATERIELS                     	VENTE MATERIEL MOBILE         	2904	80.51	-2	2
FRAIS CONDIT CARTON DELIRIUM  	SERVICES                      	SERVICES FRAIS                	2932	8.4	-7	2
FRAIS CONDIT CARTON 25/33/75CL	SERVICES                      	SERVICES FRAIS                	2934	3.6	-6	2
FRAIS CONDITIONNEMENT 33CL    	SERVICES                      	SERVICES FRAIS                	2939	2.4	-14	2
POMPE PYTHON TOTTON 7M EQUIPEE	MATERIELS                     	MATERIEL VENTE                	2943	132.52	-1	2
MACHINE FROID SEC 1T FS25     	MATERIELS                     	VENTE MATERIEL MOBILE         	2946	807.2428	0	2
LOCATION FRIGO VITRINE        	SERVICES                      	SERVICES LOCATIONS            	2960	33.33	0	2
INTERVENTION TECHNIQUE        	SERVICES                      	SERVICES TECHNIQUES           	2963	41.6666	-30	2
FRAIS CONDIT CARTON 50CL      	SERVICES                      	SERVICES FRAIS                	2970	3.2	-6	2
CONVIVIALITE ROUGE 75CL       	VINS                          	IGP COTEAUX NARBONNE          	2972	4.590000128746	160	2
GARAGE SOUP  44BTE            	BIERES                        	BIERE 33/44/50 CL CANETTE     	2978	3.2535	265	2
CAISSON BOIS SUR MESURE       	MATERIELS                     	MATERIEL VENTE                	2987	3200	-1	2
LUPULUS BLANCHE 20L           	BIERES                        	BIERE FUT 20L                 	3021	3.8	460	2
L'EXCUSE DEUS EX MACHINE 30L D	BIERES                        	BIERE FUT 30L                 	3113	6	30	2
DE RANKE KRIEK 75VC           	BIERES                        	BIERE 75VC                    	3139	6.267239713669	52	2
GUE MOINES ROI COEUR IPA 15L  	BIERES                        	BIERE FUT 10L/15L             	3145	3.4	300	2
MACHINE A GLACONS N55A AIR    	MATERIELS                     	MATERIEL VENTE                	3164	1730	-1	2
CAISSE BOIS 6X33CL HAUTE VIDE 	ARTICLES DIVERS               	CORBEILLES - COFFRETS- CARTONS	3165	4.6	0	2
CHAMP TRICHET CARACTERE 75CL  	VINS                          	CHAMPAGNE                     	3172	21.417	37	2
KWAK 6L                       	BIERES                        	BIERES FUT 5L/6L/12.5L        	3179	26.55	10	2
DETENDEUR BOUTEILLE (MANO)    	MATERIELS                     	MATERIEL VENTE                	3216	95	0	2
ROBINET ALPHA 1 CRANTE CHROME 	MATERIELS                     	MATERIEL VENTE                	3217	114.78	0	2
FIESTA 35 1T DIRECT 1/3CV     	MATERIELS                     	VENTE MATERIEL MOBILE         	3249	1256.46	0	2
FIESTA 37 2T + COMPENS 1/4CV  	MATERIELS                     	VENTE MATERIEL MOBILE         	3250	1390.33	0	2
FIESTA 100 2T DIRECT 3/8CV    	MATERIELS                     	VENTE MATERIEL MOBILE         	3251	1948.39	0	2
FIESTA 100 2T + COMPENS 3/8CV 	MATERIELS                     	VENTE MATERIEL MOBILE         	3252	1967.51	-1	2
FROID SEC 1 TIRAGE 1/5CV 40L/H	MATERIELS                     	VENTE MATERIEL MOBILE         	3273	1386.5	0	2
FROID SEC 2 TIRAGE 1/5CV 40L/H	MATERIELS                     	VENTE MATERIEL MOBILE         	3274	1510.81	0	2
FROID SEC 1 TIRAGE 1/3CV 70L/H	MATERIELS                     	VENTE MATERIEL MOBILE         	3275	1798.34	0	2
FROID SEC 2 TIRAGE 1/3CV 70L/H	MATERIELS                     	VENTE MATERIEL MOBILE         	3276	2046.29	0	2
TETE TRIANGLE GRUNDY JG 3/8   	MATERIELS                     	VENTE MATERIEL MOBILE         	3277	80.51	0	2
TETE KEYKEG ROBINET A BILLE   	MATERIELS                     	VENTE MATERIEL MOBILE         	3278	121	22	2
SOCLE RINCAGE ALUMASC TP JG3/8	MATERIELS                     	VENTE MATERIEL MOBILE         	3279	53.81	0	2
SOCLE RINCAGE GRUNDY TT JG 3/8	MATERIELS                     	VENTE MATERIEL MOBILE         	3280	52.17	0	2
SOCLE RINCAGE SANKEY TC JG 3/8	MATERIELS                     	VENTE MATERIEL MOBILE         	3281	53.81	0	2
DETENDEUR PRINCIPAL BOUTEILLE 	MATERIELS                     	VENTE MATERIEL MOBILE         	3297	74.2	-1	2
DETENDEUR PRINCIPAL BOUTEILLE 	MATERIELS                     	VENTE MATERIEL MOBILE         	3298	84.53	0	2
TABLE SUN GRISE REFACT        	MATERIELS                     	MATERIEL VENTE                	3388	22.9	0	2
STE CRU DON'T PANIC 33VP      	BIERES                        	BIERE 20/25/33/35CL VP        	3411	2.027718038559	51	2
GIN CITADELLE ARTISANAL 70CL  	ALCOOL                        	GIN                           	3418	20.6	0	2
OPTION TUYAU RENFORCE 1T      	MATERIELS                     	MATERIEL VENTE                	3423	16.5	0	2
KIT SANIT BONDE S BIDON PLAST 	MATERIELS                     	VENTE MATERIEL MOBILE         	3433	130	0	2
ADAPTATEUR KEYKEG SUR BONDE S 	MATERIELS                     	MATERIEL VENTE                	3434	98.99	0	2
JEUX DE CLES                  	MATERIELS                     	MATERIEL VENTE                	3435	21.84	0	2
TENDEUR CENTRAL MAT           	MATERIELS                     	MATERIEL VENTE                	3436	25	0	2
LAUGAR AURRERA STANITSA 33VP  	BIERES                        	BIERE 20/25/33/35CL VP        	3466	3.68560005188	0	2
LAUGAR FUNERALOPOLIS 33VP     	BIERES                        	BIERE 20/25/33/35CL VP        	3470	3.68560005188	114	2
FAUTEUIL BYSANCE BOIS TEINTE  	MATERIELS                     	MATERIEL VENTE                	3487	36.139	0	2
TABOURET BAR TEINTE VERT      	MATERIELS                     	MATERIEL VENTE                	3488	40.52	0	2
KARMELIET TRIPLE 6L           	BIERES                        	BIERES FUT 5L/6L/12.5L        	3553	28.55	26	2
SABLES CITRON 100G ETUI       	ARTICLES DIVERS               	TERRINE - BOCAUX - SAUCIS-FROM	3562	2.874999940395	0	3
ORANGETTES CHOCOLAT NOIR 80G  	ARTICLES DIVERS               	TERRINE - BOCAUX - SAUCIS-FROM	3563	4.375	0	3
SABLES FOURRES A LA FRAMB 100G	ARTICLES DIVERS               	TERRINE - BOCAUX - SAUCIS-FROM	3564	3.000000119209	0	3
QUINCE VANILLA BLACK VELV 20LK	BIERES                        	BIERE FUT 20L                 	3585	5.45	20	2
VERRE BROOKLYN 25CL           	ARTICLES DIVERS               	VERRERIE                      	3587	2.055566717339	24	2
H100 2T 3/8CV POIDS 55K DIRECT	MATERIELS                     	VENTE MATERIEL MOBILE         	3669	1484.956151123	0	2
VERRE LA CORNE BOIS DES PENDUS	ARTICLES DIVERS               	VERRERIE                      	3670	6.5	0	2
TETE PLATE TYPE A MICROMATIC  	MATERIELS                     	VENTE MATERIEL MOBILE         	3678	165.74	-7	2
LAUGAR BASATIA 20L K          	BIERES                        	BIERE FUT 20L                 	3697	5.636875033379	100	2
GOB REUTILISABLES J25/30CL X50	ARTICLES DIVERS               	REUTILISABLES                 	3738	8.6	237	2
VERRE PAIX DIEU 25/30CL       	ARTICLES DIVERS               	VERRERIE                      	3754	10.75	0	2
TABLES COMPTOIR FERIA + JUPES 	MATERIELS                     	MATERIEL VENTE                	3763	363.3334	0	2
KIT COTES BACHES 4X4 BLC 520G 	MATERIELS                     	MATERIEL VENTE                	3764	249.17	0	2
STRUCTURE HT GAMME 4X4 PRO50  	MATERIELS                     	MATERIEL VENTE                	3765	749.17	0	2
RAMASSE GOUTTES 400X200       	MATERIELS                     	MATERIEL VENTE                	3766	145	0	2
REFACT FRAIS FESTIVAL BIERE   	SERVICES                      	SERVICES FRAIS                	3773	305	0	2
LAUGAR AUPA TOVARISCH 20L K   	BIERES                        	BIERE FUT 20L                 	3784	6.874629940987	0	2
SCHWEPPES AGRUME 25VC         	SOFTS                         	BOISSONS SUCREES VC           	3794	0.95	96	3
POCHETTE 1 BLLE ESPRIT ECO ARG	ARTICLES DIVERS               	CORBEILLES - COFFRETS- CARTONS	3797	0.5	0	2
GUE MOINES ROI COEUR IPA 30L  	BIERES                        	BIERE FUT 30L                 	3830	3.4	1290	2
REFACTURATION TENTES PLIANTES 	MATERIELS                     	MATERIEL VENTE                	3831	2499.17	0	2
TABLE COMPTOIR FERIA JUPE +PUB	MATERIELS                     	MATERIEL VENTE                	3834	389	0	2
CHAMP TRICHET PUISSANCE 75CL  	VINS                          	CHAMPAGNE                     	3836	24.75	10	2
DE RANKE MIRAKEL 75VC         	BIERES                        	BIERE 75VC                    	3849	6.368759822846	41	2
COMPOSITION DE SCIE CLOCHE    	MATERIELS                     	MATERIEL VENTE                	3863	294.96	0	2
PISTOLET PROFESSIONNEL POUR   	MATERIELS                     	MATERIEL VENTE                	3864	82.9	0	2
MARTINI FIERO 100CL           	ALCOOL                        	LIQUEURS CREMES               	3883	10.4	0	2
BLANCHE DE BRUXELLES 33VC X12 	BIERES                        	BIERE 33CL VC                 	3896	1.160000017285	247	2
UNION DOUBLE MIXTE 5/16 SM-3/8	MATERIELS                     	MATERIEL VENTE                	3905	7	0	2
RACCORD CO2 SORTIE GUEST      	MATERIELS                     	MATERIEL VENTE                	3906	18.33	0	2
TUYAU PEBD CIRCUIT EAU GUEST  	MATERIELS                     	MATERIEL VENTE                	3907	244.96	0	2
SUPPORT VANNE GUEST           	MATERIELS                     	MATERIEL VENTE                	3908	3.9	0	2
DETENDEUR PRINCIPAL DROITE    	MATERIELS                     	MATERIEL VENTE                	3909	125.62	0	2
ADAPTATEUR DE RINCAGE A AVEC  	MATERIELS                     	VENTE MATERIEL MOBILE         	3910	79.64	-2	2
ADAPTATEUR DE RINCAGE S AVEC  	MATERIELS                     	VENTE MATERIEL MOBILE         	3911	79.64	-4	2
DUCHESSE BERRY RGE 2018 75CL  	VINS                          	BORDEAUX                      	3912	2.473200023174	0	2
LOCATION COMPTOIR PLIANT 2M60 	SERVICES                      	SERVICES LOCATIONS            	3936	8.3334	0	2
DE RANKE GULDENBERG 20L       	BIERES                        	BIERE FUT 20L                 	3944	4.295590090752	240	2
MACHINE A GLACONS 29KG/AIR    	MATERIELS                     	MATERIEL VENTE                	3975	780.9	0	2
LAVE VAISSELLE STANDARD 50X50 	MATERIELS                     	MATERIEL VENTE                	3976	952.66	0	2
CAISSE BOIS 8 BLLES AVEC ANSE 	ARTICLES DIVERS               	CORBEILLES - COFFRETS- CARTONS	3977	4.0832	118	2
LEFORT TRIPLE 75VP            	BIERES                        	BIERE 75VP                    	3979	4.832820858955	17	2
BARBAR BLONDE 75VP X6         	BIERES                        	BIERE 75VP                    	3992	3.825764966011	0	2
RHUM 3 RIV CANNE BRULEE 70CL  	ALCOOL                        	RHUMS DOMS                    	3995	21.1	3	2
VERRES 3 RIVIERES MOJITO      	ARTICLES DIVERS               	VERRERIE                      	3997	2	0	2
CAMPLAZENS LA GARRIGUE 75CL   	VINS                          	LA CLAPE                      	4004	6.952500128746	135	2
LINDEMANS GUEUZE C RENE 75VP  	BIERES                        	BIERE 75VP                    	4012	4.892534959316	60	2
LINDEMANS KRIEK CUV RENÉ 75VP 	BIERES                        	BIERE 75VP                    	4013	6.851009931564	84	2
SCHWEPPES AGRUME 33BTE        	SOFTS                         	BOISSONS SUCREES BTE          	4048	0.6	72	3
LAUGAR AUPA TOVARISCH 33VP    	BIERES                        	BIERE 20/25/33/35CL VP        	4054	3.14159992218	29	2
LAUGAR BASATIA 33VP           	BIERES                        	BIERE 20/25/33/35CL VP        	4056	2.36640001297	1	2
LINDEMANS GINGER GUEUZE 75VP  	BIERES                        	BIERE 75VP                    	4067	9.541256275177	214	2
DETENDEUR SUR APP POUR PREMIX 	MATERIELS                     	MATERIEL VENTE                	4084	123.66	0	2
DETENDEUR SUR APP POUR PREMIX 	MATERIELS                     	MATERIEL VENTE                	4085	132.97	0	2
GARAGE OCATA 44BTE            	BIERES                        	BIERE 33/44/50 CL CANETTE     	4102	2.619000077248	249	2
DOUILLES CANNELEES 3/8X3/8    	MATERIELS                     	MATERIEL VENTE                	4112	3.59	0	2
UNION FEMELLE 3/8-1/4 NPTF    	MATERIELS                     	MATERIEL VENTE                	4113	3.65	0	2
VERRE CERES 25CL              	ARTICLES DIVERS               	VERRERIE                      	4141	0.7	0	2
REGULATEUR AUTOMATIQUE CO2    	MATERIELS                     	MATERIEL VENTE                	4143	150.37	0	2
FC LINE 55 L 3/8 CV           	MATERIELS                     	MATERIEL VENTE                	4145	1091.5	0	2
PANNEAU DE CAVE BLANC PVC     	MATERIELS                     	VENTE MATERIEL MOBILE         	4147	51.5	1	2
MANOMETRE DE PRESSION         	MATERIELS                     	MATERIEL VENTE                	4164	16.42	0	2
EGOUTTOIR GRILLE TOTAL INOX304	MATERIELS                     	MATERIEL VENTE                	4196	576.76	0	2
LOT DE VISSERIE POUR FIXATION 	MATERIELS                     	MATERIEL VENTE                	4197	29.8	0	2
COLONNE FACTORY PONT 4T       	MATERIELS                     	MATERIEL VENTE                	4198	2633	0	2
TUYAU DE VIDANGE TRESSE       	MATERIELS                     	MATERIEL VENTE                	4199	129.5	0	2
CORNISH GOLD CIDER 30L        	CIDERS                        	CIDER FUT                     	4217	3.33	630	2
CORNISH ORCH GOLD CIDER 50VP  	CIDERS                        	CIDER BLLE                    	4218	1.827579988241	767	2
TROCADERO 6T NON LUMINEUSE    	MATERIELS                     	MATERIEL VENTE                	4227	2519	-1	2
OPTION ROBINET COMPENSATEUR   	MATERIELS                     	MATERIEL VENTE                	4228	2519	0	2
FC LINE CONVERTIBLE 90 L 1/2  	MATERIELS                     	MATERIEL VENTE                	4229	1471.35	-1	2
PLATEAU EMBOUTI 800X400       	MATERIELS                     	MATERIEL VENTE                	4230	244.47	1	2
POMPE SANITATION MINIMAX 140  	MATERIELS                     	MATERIEL VENTE                	4231	1774.24	0	2
PINCE MULTI-PRISE SERRAGE     	MATERIELS                     	MATERIEL VENTE                	4232	65.57	0	2
COPERES AMBREE 20L            	BIERES                        	BIERE FUT 20L                 	4240	3.78	0	2
POMPE PYTHON TOTTON           	MATERIELS                     	MATERIEL VENTE                	4253	132.52	-1	2
DÉTECTEUR DE FIN DE FUT       	MATERIELS                     	MATERIEL VENTE                	4254	1774.24	0	2
PANNEAU DE CAVE BLANC PVC     	MATERIELS                     	VENTE MATERIEL MOBILE         	4256	123.6	1	2
CHAISE UNIVERSELLE            	MATERIELS                     	VENTE MATERIEL MOBILE         	4258	123.6	1	2
CHAISE UNIVERSELLE            	MATERIELS                     	VENTE MATERIEL MOBILE         	4259	123.6	1	2
CAISSON HIGHLANDER 8TCHROME   	MATERIELS                     	MATERIEL VENTE                	4260	4065	0	2
LUPULUS HIBERNATUS 33VP       	BIERES                        	BIERE 20/25/33/35CL VP        	4275	1.782998018265	-39	2
TROCADERO 4T NON LUMINEUSE    	MATERIELS                     	MATERIEL VENTE                	4284	1902	0	2
PLATEAU EMBOUTI 600X400       	MATERIELS                     	MATERIEL VENTE                	4285	244.47	1	2
FC LINE 55 L 1/2 CV           	MATERIELS                     	MATERIEL VENTE                	4286	1327.84	-1	2
EGOUTTOIR GRILLE TOTAL INOX304	MATERIELS                     	MATERIEL VENTE                	4319	1023.44	0	2
BOON OUDE KRIEK 37,5VC        	BIERES                        	BIERE 37.5CL                  	4320	3.950670111179	48	2
OUD BEERSEL OUDE KRIEK 37.5VP 	BIERES                        	BIERE 37.5CL                  	4329	4.965576066971	48	2
OUD BEERSEL OUDE KRIEK 75VP   	BIERES                        	BIERE 75VP                    	4333	10.02685496807	9	2
OUD BEERSEL OUDE GUEUZE 75VP  	BIERES                        	BIERE 75VP                    	4334	8.013852310181	16	2
BARREAU AUGUSTIN ROUGE 75CL   	VINS                          	GAILLAC                       	4337	4.684500038624	28	2
BARREAU AUGUSTIN PERLE 75C    	VINS                          	GAILLAC                       	4338	4.684500038624	2	2
BARREAU AUGUSTIN BLC SEC 75C  	VINS                          	GAILLAC                       	4339	4.684499716759	66	2
BARREAU CAPRICE AUTOMNE 75    	VINS                          	GAILLAC                       	4342	7.708500051498	0	2
BARO ROUGE N°1 75CL           	VINS                          	GAILLAC                       	4344	3.955500090122	9	2
BARO ROSE N°3 75CL            	VINS                          	GAILLAC                       	4345	3.996000051498	30	2
BARO BLANC SEC N°2 75CL       	VINS                          	GAILLAC                       	4346	3.955500090122	152	2
RACCORD CO2 SORTIE G5/8       	MATERIELS                     	MATERIEL VENTE                	4363	21.29	0	2
DÉTECTEUR DE FIN DE FUT       	MATERIELS                     	MATERIEL VENTE                	4364	111.38	-1	2
MACHINE A GLACONS 75KG/AIR    	MATERIELS                     	MATERIEL VENTE                	4375	1600	1	2
CAFÉ DE PARIS FAÏENCE 3 T     	MATERIELS                     	MATERIEL VENTE                	4376	1661	-1	2
DE LEITE CUVEE MAM ZELLE 33VC 	BIERES                        	BIERE 33CL VC                 	4404	2.324609971046	2	2
DE LEITE CUV SOEUR ISE 33VC   	BIERES                        	BIERE 33CL VC                 	4406	3.122940015793	67	2
PANNEAU DE CAVE BLANC PVC     	MATERIELS                     	VENTE MATERIEL MOBILE         	4439	72.09	0	2
CAROLUS TRIPLE 75VP    X6     	BIERES                        	BIERE 75VC                    	4440	4.21686000824	0	2
MISTER B BOMBOLONI 33BTE X24  	BIERES                        	BIERE 33/44/50 CL CANETTE     	4444	2.20221397996	312	2
MJG FACE A FACE RGE 75CL      	VINS                          	COTES CATALANES               	4449	9.45	21	2
REFACTURATION HONORAIRES ADMIN	SERVICES                      	SERVICES FRAIS                	4450	350	0	2
LA DEBAUCHE CINDY BUNNY 33VP  	BIERES                        	BIERE 20/25/33/35CL VP        	4458	1.754999935627	2	2
EFFET PAPILLON PALE ALE 75VP  	BIERES                        	BIERE 75VP                    	4466	3.78345113039	38	2
CALVADOS BUSNEL VSOP 70CL     	ALCOOL                        	CALVADOS                      	4491	19.95	9	2
WHISKY YOICHI SINGLE MALT 70CL	ALCOOL                        	WHISKY                        	4528	45.8	2	2
VERRE RINCE COCHON 25/33CL    	ARTICLES DIVERS               	VERRERIE                      	4537	0.7681249827147	24	2
DE RANK VIEILLE PROVISION 75VC	BIERES                        	BIERE 75VP                    	4542	6.921788153648	48	2
PAIX DIEU TRIPLE 75VP X6      	BIERES                        	BIERE 75VP                    	4543	5.064119946957	29	2
VERRE RATZ 25CL               	ARTICLES DIVERS               	VERRERIE                      	4564	1.8	3048	2
REFACTURATION CONSIGNE 6X75CL 	SERVICES                      	SERVICES FRAIS                	4581	0.25	0	2
REFACTURATION CONSIGNE 24X0.10	SERVICES                      	SERVICES FRAIS                	4582	0.1	0	2
VERRE ERDINGER WEISS 50 CL    	ARTICLES DIVERS               	VERRERIE                      	4584	1.8	24	2
