Désignation article;Désignation famille;Désignation sous famille;Article;Prix VENTE;Stock en UV;Code TVA
VERRE GRISETTE 25 CL          	ARTICLES DIVERS               	VERRERIE                      	2038	2.328278728175	-42	2
VERRE GROLSCH 50CL            	ARTICLES DIVERS               	VERRERIE                      	2039	1.5	-480	2
VERRE GROLSCH 25CL            	ARTICLES DIVERS               	VERRERIE                      	2040	1.5	-192	2
VERRE GUILLOTINE 25 CL        	ARTICLES DIVERS               	VERRERIE                      	2041	2.281690282965	0	2
VERRE GUILLOTINE 33 CL        	ARTICLES DIVERS               	VERRERIE                      	2042	2.281690282965	0	2
VERRE GUINNESS 25CL           	ARTICLES DIVERS               	VERRERIE                      	2043	1.1363	-24	2
VERRE GUINNESS 50CL           	ARTICLES DIVERS               	VERRERIE                      	2044	2.2726	-12	2
VERRE GUINESS 28 CL           	ARTICLES DIVERS               	VERRERIE                      	2045	0.9544919701994	0	2
VERRE GUINESS 56 CL           	ARTICLES DIVERS               	VERRERIE                      	2046	1.588547402167	0	2
VERRE GULDEN DRAAK 33 CL      	ARTICLES DIVERS               	VERRERIE                      	2047	2.398729369354	-7	2
VERRE HAPKIN 33 CL            	ARTICLES DIVERS               	VERRERIE                      	2048	2.373730684829	0	2
VERRE HIGHLAND PARK           	ARTICLES DIVERS               	VERRERIE                      	2049	0.001136300053971	0	2
VERRE HOEGAARDEN 25 CL        	ARTICLES DIVERS               	VERRERIE                      	2050	1.924892206502	-7	2
VERRE HOEPFNER FERRARA 25CL   	ARTICLES DIVERS               	VERRERIE                      	2051	0.01136299974602	-4	2
VERRE HOMMELBIER 25 CL        	ARTICLES DIVERS               	VERRERIE                      	2052	1.933982624924	-18	2
VERRE HOPUS 25 CL             	ARTICLES DIVERS               	VERRERIE                      	2053	2.287371913004	-18	2
VERRE HOPUS 33 CL             	ARTICLES DIVERS               	VERRERIE                      	2054	3.127097706199	-30	2
VERRE HOPUS SHOOTER 4 CL      	ARTICLES DIVERS               	VERRERIE                      	2055	1.41696607616	0	2
VERRE CHOUFFE HOUBLON JAUG25CL	ARTICLES DIVERS               	VERRERIE                      	2056	2.215785054183	0	2
VERRE JAMESON 20CL            	ARTICLES DIVERS               	VERRERIE                      	2057	0.01136299974602	0	2
VERRE JEVER POKAL 25CL        	ARTICLES DIVERS               	VERRERIE                      	2058	0.01136299974602	0	2
VERRE JUPILER 25CL            	ARTICLES DIVERS               	VERRERIE                      	2059	0.7874559211314	-5	2
VERRE JUPILER 33CL            	ARTICLES DIVERS               	VERRERIE                      	2060	0.7874559211314	0	2
VERRE JUPILER PIED 25CL       	ARTICLES DIVERS               	VERRERIE                      	2061	1.30901754365	0	2
VERRE KAPITTEL 25CL           	ARTICLES DIVERS               	VERRERIE                      	2062	1.990797570741	360	2
VERRE KARLSBRAU 25CL          	ARTICLES DIVERS               	VERRERIE                      	2063	1.70445	-24	2
VERRE TRIPLE KARMELIET 58CL   	ARTICLES DIVERS               	VERRERIE                      	2064	3.148687195969	-75	2
VERRE KARMELIET  38CL         	ARTICLES DIVERS               	VERRERIE                      	2065	2.462362162852	-209	2
VERRE KASTEEL 25 CL           	ARTICLES DIVERS               	VERRERIE                      	2066	2.145334413004	-7	2
VERRE KASTEELBIER JAUGE 33CL  	ARTICLES DIVERS               	VERRERIE                      	2067	2.145334413004	0	2
VERRE KASTEEL 33 CL           	ARTICLES DIVERS               	VERRERIE                      	2068	2.145334413004	-9	2
VERRE KASTEEL JAUGE 25CL      	ARTICLES DIVERS               	VERRERIE                      	2069	2.145334413004	-4	2
VERRE KASTEEL CUVEE DU CHATEAU	ARTICLES DIVERS               	VERRERIE                      	2070	2.145334413004	0	2
VERRE KWAK SANS SUPPORT       	ARTICLES DIVERS               	VERRERIE                      	2071	4.212264119506	-122	2
VERRE KWAK FOND PLAT 33CL     	ARTICLES DIVERS               	VERRERIE                      	2072	4.21794547863	24	2
VERRE LAPHROAIG               	ARTICLES DIVERS               	VERRERIE                      	2073	0.01136299974602	0	2
VERRE LA TRAPPE 25 CL         	ARTICLES DIVERS               	VERRERIE                      	2074	1.708995141482	-10	2
VERRE LEFFE 25 CL             	ARTICLES DIVERS               	VERRERIE                      	2075	1.680587668574	-6	2
VERRE LEFFE 33 CL             	ARTICLES DIVERS               	VERRERIE                      	2076	1.852168994582	0	2
VERRE LEROY STOUT 33 CL       	ARTICLES DIVERS               	VERRERIE                      	2077	1.990797570741	0	2
VERRE SERIGRAPHIE LIBERTINE   	ARTICLES DIVERS               	VERRERIE                      	2078	1.818080027092	0	2
VERRE A PIED LICORNE 25 CL    	ARTICLES DIVERS               	VERRERIE                      	2079	1.124937010837	-324	2
VERRE LICORNE 50 CL           	ARTICLES DIVERS               	VERRERIE                      	2080	2.045339945817	-186	2
VERRE LICORNE BLACK 25 CL     	ARTICLES DIVERS               	VERRERIE                      	2081	1.409012010837	-284	2
VERRE LIEFMAN 25CL PIED       	ARTICLES DIVERS               	VERRERIE                      	2082	2.154424831426	0	2
VERRE LIEFMANS 25 CL BAS      	ARTICLES DIVERS               	VERRERIE                      	2083	1.623772722757	0	2
VERRE A PIED LILLET TASTE 50CL	ARTICLES DIVERS               	VERRERIE                      	2084	0.01136299974602	0	2
VERRE LINDEMANS 3 LOGOS 33 CL 	ARTICLES DIVERS               	VERRERIE                      	2085	1.689678086996	-36	2
VERRE LINDEMANS KRIEK BALLON  	ARTICLES DIVERS               	VERRERIE                      	2086	1.680587668574	-51	2
VERRE LUPULUS 33 CL           	ARTICLES DIVERS               	VERRERIE                      	2087	3.282770630646	-255	2
VERRE MC EWANS                	ARTICLES DIVERS               	VERRERIE                      	2088	1.490825641179	0	2
VERRE MAREDSOUS JAUGE25CL FUT 	ARTICLES DIVERS               	VERRERIE                      	2089	2.113518016255	-133	2
VERRE MAREDSOUS JAUGE 33CL    	ARTICLES DIVERS               	VERRERIE                      	2090	2.113518016255	-31	2
VERRE MAREDSOUS JAUGE50CL     	ARTICLES DIVERS               	VERRERIE                      	2091	1.655589119506	6	2
VERRE MAREDSOUS GRES          	ARTICLES DIVERS               	VERRERIE                      	2092	4.5452	-1	2
VERRE MARTINS PALE ALE 33 CL  	ARTICLES DIVERS               	VERRERIE                      	2093	1.818080027092	0	2
VERRE MOEDER OVERSTE 33 CL    	ARTICLES DIVERS               	VERRERIE                      	2094	2.01920504365	0	2
VERRE MOEDER OVERSTE 25 CL    	ARTICLES DIVERS               	VERRERIE                      	2095	2.06238456502	0	2
VERRE MOINETTE 25 CL          	ARTICLES DIVERS               	VERRERIE                      	2096	1.708995141482	0	2
VERRE MOINETTE 33 CL          	ARTICLES DIVERS               	VERRERIE                      	2097	1.935118842566	0	2
VERRE MOINETTE BONVOEUX       	ARTICLES DIVERS               	VERRERIE                      	2098	2.162378896749	0	2
VERRE MONK'S STOUT            	ARTICLES DIVERS               	VERRERIE                      	2099	1.933982624924	36	2
VERRE MYSTIC 25 CL            	ARTICLES DIVERS               	VERRERIE                      	2100	1.874894972909	0	2
VERRE NAMUR BLANCHE 25CL      	ARTICLES DIVERS               	VERRERIE                      	2101	1.624999940395	0	2
VERRE BAL. NEUTRE BREUGHEL    	ARTICLES DIVERS               	VERRERIE                      	2102	1.10221103251	0	2
VERRE NONIC LICORNE 25 CL     	ARTICLES DIVERS               	VERRERIE                      	2104	1.374923043346	66	2
VERRE NONIC LICORNE 50 CL     	ARTICLES DIVERS               	VERRERIE                      	2105	1.92034706502	66	2
VERRE ORVAL 33CL              	ARTICLES DIVERS               	VERRERIE                      	2106	2.666895967794	0	2
VERRE SAS PILS 25CL           	ARTICLES DIVERS               	VERRERIE                      	2107	1.5	648	2
VERRE PAGE 24 TRIPLE          	ARTICLES DIVERS               	VERRERIE                      	2108	2.84075	-5	2
VERRE PATER LIEVEN 33CL       	ARTICLES DIVERS               	VERRERIE                      	2110	2.028295462072	-8	2
VERRE PAULANER 50CL           	ARTICLES DIVERS               	VERRERIE                      	2111	2.215785054183	-28	2
VERRE PECH MEL BUSH 33 CL     	ARTICLES DIVERS               	VERRERIE                      	2112	3.014604032207	0	2
VERRE PERONI 25 CL            	ARTICLES DIVERS               	VERRERIE                      	2113	0.9658550270915	492	2
VERRE PETRUS 25 CL            	ARTICLES DIVERS               	VERRERIE                      	2114	1.649907624924	-78	2
VERRE PILSNER URQUELL 25CL    	ARTICLES DIVERS               	VERRERIE                      	2116	0.9658550270915	-13	2
VERRE PILSNER URQUELL 50CL    	ARTICLES DIVERS               	VERRERIE                      	2117	1.340833940399	-105	2
VERRE JEAN PRIMUS 25CL        	ARTICLES DIVERS               	VERRERIE                      	2119	0.943128981036	816	2
VERRE PRIMUS OR SS PIED  25CL 	ARTICLES DIVERS               	VERRERIE                      	2120	1.658998043346	1040	2
VERRE QUEUE DE CHARRUE 25CLFUT	ARTICLES DIVERS               	VERRERIE                      	2122	1.643089777243	-6	2
VERRE QUEUE DE CHARRUE 33CL   	ARTICLES DIVERS               	VERRERIE                      	2123	1.643089777243	70	2
VERRE QUEUE CHARRUE 50 CL     	ARTICLES DIVERS               	VERRERIE                      	2124	1.861259413004	0	2
VERRE QUINTINE 33CL           	ARTICLES DIVERS               	VERRERIE                      	2125	2.596445597529	0	2
VERRE ROCHEFORT 33CL          	ARTICLES DIVERS               	VERRERIE                      	2127	2.385093673992	77	2
VERRE RODENBACH 33 CL         	ARTICLES DIVERS               	VERRERIE                      	2128	1.643089777243	0	2
VERRE RODENBACH GRD CRU       	ARTICLES DIVERS               	VERRERIE                      	2129	1.797626619506	0	2
VERRE RODENBACH 25 CL         	ARTICLES DIVERS               	VERRERIE                      	2130	1.374923043346	0	2
VERRE RUSSIAN STD LONG DRINK  	ARTICLES DIVERS               	VERRERIE                      	2131	1.1363	0	2
VERRE SAISON 1900             	ARTICLES DIVERS               	VERRERIE                      	2132	2.103291244733	60	2
VERRE SCHNEIDER AVENTINUS 30CL	ARTICLES DIVERS               	VERRERIE                      	2135	0.01136299974602	0	2
VERRE SCHNEIDER WEISS 50CL    	ARTICLES DIVERS               	VERRERIE                      	2136	0.01136299974602	5	2
VERRE ST BERNADUS 25 CL FUT   	ARTICLES DIVERS               	VERRERIE                      	2137	1.840806005418	0	2
VERRE ST BERNARDUS 33 CL      	ARTICLES DIVERS               	VERRERIE                      	2138	1.840806005418	42	2
VERRE STELLA 25 CL PIED       	ARTICLES DIVERS               	VERRERIE                      	2139	1.178343032813	0	2
VERRE STELLA 50 CL            	ARTICLES DIVERS               	VERRERIE                      	2140	1.832851940095	0	2
VERRE ST FEUILLIEN 33CL       	ARTICLES DIVERS               	VERRERIE                      	2141	2.568037989163	-13	2
VERRE ST FEUILLEN GRD CRU 33CL	ARTICLES DIVERS               	VERRERIE                      	2144	3.113280057907	0	2
VERRE ST FEUILLIEN SAISON 33CL	ARTICLES DIVERS               	VERRERIE                      	2145	1.765810222757	-12	2
VERRE STRAFF HENDRIK          	ARTICLES DIVERS               	VERRERIE                      	2146	2.953243673992	6	2
VERRE TEISSEIRE 35CL          	ARTICLES DIVERS               	VERRERIE                      	2147	0.01136299974602	85	2
VERRE TONGERLO 20/25CL        	ARTICLES DIVERS               	VERRERIE                      	2148	1.980570934677	-65	2
VERRE TRAPPE 33 CL            	ARTICLES DIVERS               	VERRERIE                      	2149	2.563492847681	-31	2
VERRE TROUBADOURE 33 CL       	ARTICLES DIVERS               	VERRERIE                      	2153	1.87716754365	0	2
VERRE TULLAMORE DEW           	ARTICLES DIVERS               	VERRERIE                      	2154	0.01136299974602	0	2
VERRE UR PILS 25CL            	ARTICLES DIVERS               	VERRERIE                      	2155	1.70445	0	2
VERRE URQUELL PIED            	ARTICLES DIVERS               	VERRERIE                      	2156	2.121472081578	0	2
VERRE URTHEL 33 CL            	ARTICLES DIVERS               	VERRERIE                      	2157	2.196467864239	0	2
VERRE URTHEL SAISONNIERE 33 CL	ARTICLES DIVERS               	VERRERIE                      	2158	1.805580684829	0	2
VERRE VEDETT 25CL             	ARTICLES DIVERS               	VERRERIE                      	2159	1.116982877785	-108	2
VERRE VEDETT 50CL             	ARTICLES DIVERS               	VERRERIE                      	2160	2.2726	6	2
VERRE VEDETT DROIT            	ARTICLES DIVERS               	VERRERIE                      	2161	1.229476619506	0	2
VERRE VEDETT PIED             	ARTICLES DIVERS               	VERRERIE                      	2162	1.405603086996	-6	2
VERRE VICHTENAAR              	ARTICLES DIVERS               	VERRERIE                      	2163	1.060167931968	0	2
VERRE VILLIERS                	ARTICLES DIVERS               	VERRERIE                      	2165	2.510086825705	0	2
VERRE WELTENBURG ISAR 50CL    	ARTICLES DIVERS               	VERRERIE                      	2166	0.01136299974602	0	2
VERRE WELTENBURG TRUMPF 25CL  	ARTICLES DIVERS               	VERRERIE                      	2167	0.01136299974602	0	2
VERRE WELTENBURG WEISS HOP50CL	ARTICLES DIVERS               	VERRERIE                      	2168	0.01136299974602	0	2
VERRE WESTMALE 33 CL          	ARTICLES DIVERS               	VERRERIE                      	2169	2.708939271522	-6	2
VERRE WITKAP                  	ARTICLES DIVERS               	VERRERIE                      	2170	2.190786369658	0	2
VERRE WITTEKERKE              	ARTICLES DIVERS               	VERRERIE                      	2171	1.126073296207	-12	2
APERO MIX NOTEKRAKER 5KG      	ARTICLES DIVERS               	GATEAUX APERITIF              	2172	31.08	5	3
HORECA MIX NOTEKRAKER 5KG     	ARTICLES DIVERS               	GATEAUX APERITIF              	2173	29.9	11	3
MIX PAPRIKA NOTEKRAKER 5KG    	ARTICLES DIVERS               	GATEAUX APERITIF              	2174	29.9	9	3
LOCATION TENTE ABRI FACIL 3X3 	SERVICES                      	SERVICES LOCATIONS            	2176	41.6667	-7	2
LOCATION 1 KIT DE 2 LIAISONS  	SERVICES                      	SERVICES LOCATIONS            	2177	47.5	0	2
SAC ESPERANCE KRAFT 3 BLLES   	ARTICLES DIVERS               	CORBEILLES - COFFRETS- CARTONS	2178	0.3624999895692	0	2
COFF CALENDRIER AVENT BIERES  	ARTICLES DIVERS               	CORBEILLES - COFFRETS- CARTONS	2179	8.45	-1	2
VERRE SAISON DUPONT 25/33CL   	ARTICLES DIVERS               	VERRERIE                      	2180	2	6	2
BACHE PUBLICITAIRE            	ARTICLES DIVERS               	ART. PUB.                     	2181	8.3334	9	2
POLO PUBLICITAIRE             	ARTICLES DIVERS               	ART. PUB.                     	2182	10	0	2
T SHIRT PUBLICITAIRE          	ARTICLES DIVERS               	ART. PUB.                     	2183	8	-1	2
VERRE MEAN SARDINE 30CL       	ARTICLES DIVERS               	VERRERIE                      	2184	4	0	2
VERRE FUZETEA 30CL            	ARTICLES DIVERS               	VERRERIE                      	2185	1	12	2
VERRE ABSINTHE                	ARTICLES DIVERS               	VERRERIE                      	2186	2.333379960263	0	2
LOC 1 KIT DEMI-COTE ABRI FACIL	SERVICES                      	SERVICES LOCATIONS            	2187	39.1667	0	2
LOCATION BANC BODEGA          	SERVICES                      	SERVICES LOCATIONS            	2188	8.3334	0	2
LOC 1 LEST FONTE 15KG PR TENTE	SERVICES                      	SERVICES LOCATIONS            	2189	39.1667	0	2
VERRE GUE DES MOINES 25CL     	ARTICLES DIVERS               	VERRERIE                      	2190	2	-30	2
VERRE PAULANER 3L             	ARTICLES DIVERS               	VERRERIE                      	2191	43.75	0	2
VERRE KAPITTEL 33CL           	ARTICLES DIVERS               	VERRERIE                      	2192	2.5	360	2
LOCATION MACHINE PERFECT DRAFT	SERVICES                      	SERVICES LOCATIONS            	2194	8.3334	0	2
TERR JAMBON PERIG & TOMME 180G	ARTICLES DIVERS               	TERRINE - BOCAUX - SAUCIS-FROM	2196	2.5	0	3
FRAIRINE CUISSE GRENOUILLE 90G	ARTICLES DIVERS               	TERRINE - BOCAUX - SAUCIS-FROM	2197	2.1875	0	3
LOCATION TABLE BODEGA         	SERVICES                      	SERVICES LOCATIONS            	2198	12.5	0	2
TARTARE TRUITE MAGRET FUME 90G	ARTICLES DIVERS               	TERRINE - BOCAUX - SAUCIS-FROM	2199	2.5	0	3
TARTARE HOMARD AUX ZESTES 90G 	ARTICLES DIVERS               	TERRINE - BOCAUX - SAUCIS-FROM	2200	2.5	0	3
DELICE TOMATES SECHEES 90G    	ARTICLES DIVERS               	TERRINE - BOCAUX - SAUCIS-FROM	2201	2.249999940395	0	3
TAPENADE OLIVES NOIRES 90G    	ARTICLES DIVERS               	TERRINE - BOCAUX - SAUCIS-FROM	2202	2.249999940395	0	3
CROUSTIL'AIL & FINES HERB 100G	ARTICLES DIVERS               	TERRINE - BOCAUX - SAUCIS-FROM	2203	3.125	0	3
GROUPE FROID 2TBG 35L/BIER+EAU	MATERIELS                     	MATERIEL VENTE                	2204	903.45	-2	2
GROUPE FROID 3TBG 1/2 CV      	MATERIELS                     	MATERIEL VENTE                	2205	1142.5	0	2
ADAPTATEUR FUT BONDE S TETE A 	MATERIELS                     	MATERIEL VENTE                	2206	38.95	0	2
ADAPTATEUR RINCAGE A          	MATERIELS                     	MATERIEL VENTE                	2207	80.3	0	2
ADAPTATEUR RINCAGE G          	MATERIELS                     	MATERIEL VENTE                	2208	80.3	0	2
AGITATEUR EBM TÊTE ROTATIVE   	MATERIELS                     	MATERIEL VENTE                	2209	129.13	-2	2
COLONNE OCCASION              	MATERIELS                     	MATERIEL VENTE                	2210	641.1666	-2	2
DESANAMAX                     	MATERIELS                     	MATERIEL VENTE                	2211	1.087	-1	2
DETENDEUR PRINC.N²CO² 2SORTIES	MATERIELS                     	MATERIEL VENTE                	2212	118.55	0	2
DETENDEUR HP GAUCHE MALE 1/4  	MATERIELS                     	MATERIEL VENTE                	2213	115.95	-1	2
DETENDEUR SECONDAIRE          	MATERIELS                     	MATERIEL VENTE                	2214	76	0	2
FIESTA 200 CLASSIC DIRECT 1CV 	MATERIELS                     	MATERIEL VENTE                	2215	3027.36	0	2
FIESTA 36 1T + COMPENS 1/4CV  	MATERIELS                     	VENTE MATERIEL MOBILE         	2216	1275.58	0	2
FLEXIBLE HP 1,5 M - AVEC CABLE	MATERIELS                     	MATERIEL VENTE                	2217	104.4	-3	2
JOINT TORIQUE FLEXIBLE HP     	MATERIELS                     	MATERIEL VENTE                	2218	1.28	-3	2
KIT CONDENSATEURS PERF PLATINE	MATERIELS                     	MATERIEL VENTE                	2219	20.9	0	2
LAVE VERRES CLASSIC 35X35     	MATERIELS                     	MATERIEL VENTE                	2220	1890	0	2
MACH GLACE GRANULAIRE 85KG/24H	MATERIELS                     	MATERIEL VENTE                	2222	1722.5	0	2
MACHINE PERFECT DRAFT         	MATERIELS                     	MATERIEL VENTE                	2223	231.609992981	5	2
MACHINE TIRAGE PRESSION       	MATERIELS                     	MATERIEL VENTE                	2224	2500	0	2
MACH TIRAGE PRESSION COMPLETE:	MATERIELS                     	MATERIEL VENTE                	2225	12508.92	-2	2
PLATEAU EMBOUTI 400X400       	MATERIELS                     	MATERIEL VENTE                	2233	244.47	-1	2
PUREXOL BIDON 12,5KG          	MATERIELS                     	MATERIEL VENTE                	2234	81.14	0	2
ADAPTATEUR RINÇAGE KEYKEG     	MATERIELS                     	VENTE MATERIEL MOBILE         	2242	82.69	16	2
TUYAUX ET RACCORDS            	MATERIELS                     	MATERIEL VENTE                	2244	50	-2	2
TUYAU ALIM BICOUCHE LUPULUS   	MATERIELS                     	MATERIEL VENTE                	2245	211	0	2
FROID SEC 1 TIRAGE 1/8CV 24L/H	MATERIELS                     	VENTE MATERIEL MOBILE         	2247	1032.7	0	2
VENTE H40 1T DIRECT 1/3CV     	MATERIELS                     	VENTE MATERIEL MOBILE         	2248	1113	0	2
VENTE CHAISE PVC              	MATERIELS                     	MATERIEL VENTE                	2250	6.2	-12	2
FIESTA200 CLASSIC DIRECT 1/2CV	MATERIELS                     	MATERIEL VENTE                	2251	2533.95	0	2
VENTE FAUTEUIL RIO +          	MATERIELS                     	MATERIEL VENTE                	2252	5.1666	-24	2
TABLE RONDE REFACTUREE        	MATERIELS                     	MATERIEL VENTE                	2253	9.2	-3	2
TABLE MICHIGAN BORDEAUX REFACT	MATERIELS                     	MATERIEL VENTE                	2254	16.09	-1	2
FORFAIT MONTAGE COMPRENANT :  	SERVICES                      	SERVICES FRAIS                	2255	140	0	2
FRAIS DE DEPLACEMENTS         	SERVICES                      	SERVICES FRAIS                	2256	83.3334	-4	2
MANO BOUTEILLE DOUBLE SORTIE  	MATERIELS                     	MATERIEL VENTE                	2257	150.65	-1	2
FRAIS DE LIVRAISON + REPRISE  	SERVICES                      	SERVICES FRAIS                	2258	41.6667	-62	2
FRAIS DE REJET DE TRAITE      	SERVICES                      	SERVICES FRAIS                	2259	20.6	-44	2
FRAIS DE REMISE               	SERVICES                      	SERVICES FRAIS                	2260	41.6675	0	2
FRAIS MAIN D'OEUVRE           	SERVICES                      	SERVICES FRAIS                	2262	41.667	0	2
LOCATION COMPTOIR ABRI FACIL  	SERVICES                      	SERVICES LOCATIONS            	2264	8.3233	-24	2
LOC TENTE ABRI FACI 4X4+4 LEST	SERVICES                      	SERVICES LOCATIONS            	2265	79.584	0	2
LOCATION TENTE ABRI 4X8+ LESTS	SERVICES                      	SERVICES LOCATIONS            	2266	189.6	0	2
LOCATION BACHE ROUGE 3C ABS   	SERVICES                      	SERVICES LOCATIONS            	2267	8.334	-2	2
LOCATION BUVETTE HEXAGONALE   	SERVICES                      	SERVICES LOCATIONS            	2268	62.5	0	2
LOCATION CAMION FRIGO 3T5     	SERVICES                      	SERVICES LOCATIONS            	2269	410.8333	-1	2
LOCATION CHAISE PLASTIQUE     	SERVICES                      	SERVICES LOCATIONS            	2270	1.25	-226	2
LOCATION COMPTOIRS ABS 2M     	SERVICES                      	SERVICES LOCATIONS            	2271	8.3334	24	2
FRAIS PICKING                 	SERVICES                      	SERVICES FRAIS                	2272	25	21	2
LOCATION FRIGO 300 BOITES     	SERVICES                      	SERVICES LOCATIONS            	2273	20.8333	-10	2
LOCATION MACHINE A CAFE 10L   	SERVICES                      	SERVICES LOCATIONS            	2275	16.6666	-13	2
LOCATION MACHINE 2 TIRAGES    	SERVICES                      	SERVICES LOCATIONS            	2276	20.8333	-6	2
LOCATION MACHINE 1 TIRAGE     	SERVICES                      	SERVICES LOCATIONS            	2277	20.8333	-139	2
LOCATION REMORQUE FRIGO       	SERVICES                      	SERVICES LOCATIONS            	2278	350	-4	2
LOCATION TABLE RONDE PVC      	SERVICES                      	SERVICES LOCATIONS            	2279	1.6666	-59	2
LOCATION TABLE CARRE PVC      	SERVICES                      	SERVICES LOCATIONS            	2280	1.6666	-15	2
LOCATION TETE CREUSE          	SERVICES                      	SERVICES LOCATIONS            	2281	130	-33	2
SANITATION 1T PRESSION CHEZ OB	SERVICES                      	SERVICES TECHNIQUES           	2285	25	-3	2
SANITATION 1/2 T PRESSION EXT.	SERVICES                      	SERVICES TECHNIQUES           	2286	45	-153	2
LOCATION TETE PLATE           	SERVICES                      	SERVICES LOCATIONS            	2294	130	-69	2
LOCATION TETE KEYKEG          	SERVICES                      	SERVICES LOCATIONS            	2295	130	-68	2
LOCATION TETE TRAPPE          	SERVICES                      	SERVICES LOCATIONS            	2296	130	-2	2
RH MILLONARIO SOLERA 15A 70CL 	ALCOOL                        	RHUMS TIERS                   	2304	33.1	5	2
CARPANO ANTICA FORMULA 100CL  	ALCOOL                        	VERMOUTHS                     	2308	23.7841	9	2
ABSINTHES MORAND 70 CL        	ALCOOL                        	ABSINTHES                     	2313	32.9815	4	2
AMER CYNAR 100CL              	ALCOOL                        	LIQUEURS CREMES               	2318	17.5	18	2
VODKA ABSOLUT 70CL            	ALCOOL                        	VODKA                         	2324	15.0652	0	2
MEZCAL REY ZAPOTECO BIO 50CL  	ALCOOL                        	TEQUILA                       	2331	29.7405	0	2
WHISKY HUDSON BABY 14A 35CL   	ALCOOL                        	WHISKY VIEUX                  	2349	36.7975	0	2
CAMPLAZENS RESERVE ROSE 75C   	VINS                          	AOC LANGUEDOC                 	2356	5.3	2	2
CAMPLAZENS IGP OC GRENACHE75CL	VINS                          	OC                            	2358	5.2504	55	2
CAMPLAZENS MARSELAN RGE 75CL  	VINS PERMANENTS               	OC                            	2359	5.4	1	2
CAMPLAZENS SYRAH 75CL         	VINS PERMANENTS               	IGP COTEAUX NARBONNE          	2360	5.4	86	2
CAMPLAZENS VIOGNIER BLC 75CL  	VINS PERMANENTS               	IGP COTEAUX NARBONNE          	2361	5.5	85	2
BIB 10L GAYREL ROUGE          	VINS PERMANENTS               	COTES DU TARN                 	2363	21.5	15	2
BIB 10L GAYREL ROSE           	VINS PERMANENTS               	COTES DU TARN                 	2364	21.5	18	2
SAC REUTILISABLE 45X45X22     	ARTICLES DIVERS               	SACS REUTILISABES             	2365	0.25	0	2
VINA ESMERALDA BLANC 75CL     	VINS                          	ESPAGNE AOC                   	2367	5.5	3	2
PROSECCO RICCADONNA 75CL      	VINS PERMANENTS               	VIN MOUSSEUX DE QUALITE       	2374	7.5	27	2
CHAMP TRICHET AUTH BRUT 75CL  	VINS PERMANENTS               	CHAMPAGNE                     	2376	18.9	24	2
CHAMP TRICHET AUTH ROSE 75CL  	VINS PERMANENTS               	CHAMPAGNE                     	2377	19.5	17	2
CH TRICHET HERITAGE 1E CRU 75C	VINS PERMANENTS               	CHAMPAGNE                     	2378	23	42	2
CH TRICHET AUTH DEMI-SEC 75CL 	VINS                          	CHAMPAGNE DEMI-SEC            	2379	18.9	18	2
CHAMP TRICHET AUTH BRUT 37.5CL	VINS PERMANENTS               	CHAMPAGNE                     	2380	11.7	1	2
BASQUELAND IMPARABLE 30L K    	BIERES                        	BIERE FUT 30L                 	2403	4.5722	300	2
RATZ XV ANS 30L               	BIERES                        	BIERE FUT 30L                 	2425	2.76	0	2
BIOLEGERE DUPONT 20L          	BIERES                        	BIERE FUT 20L                 	2426	3.549420022965	0	2
DE LEITE MA MERE SPECIALE 33VC	BIERES                        	BIERE 33CL VC                 	2447	2.04957606554	2	2
VAL DIEU GRAND CRU 33VC       	BIERES                        	BIERE 33CL VC                 	2448	2.087525947094	0	2
CAMPARI LIQUEUR AMERE 100CL   	ALCOOL                        	LIQUEURS CREMES               	2464	19.9	27	2
BASQ IMPARABLE 33VP BOUTEILLE 	BIERES                        	BIERE 20/25/33/35CL VP        	2465	2.187036059403	49	2
HANSSENS LAMB RASPBERRY 37.5VP	BIERES                        	BIERE 37.5CL                  	2551	4.579112150669	0	2
HANSSENS OUDBEITJE 37.5VP     	BIERES                        	BIERE 37.5CL                  	2552	3.782924852371	3	2
HANSSENS SCHAARB KRIEK 37,5VP 	BIERES                        	BIERE 37.5CL                  	2553	5.501979002953	10	2
CUVEE DE RANKE 75VC           	BIERES                        	BIERE 75VC                    	2558	5.662979865074	69	2
LIVINUS BLONDE 75VC           	BIERES                        	BIERE 75VC                    	2559	3.095119905472	154	2
LUPULUS ORGANICUS BIO 75VC    	BIERES                        	BIERE 75VC                    	2560	3.796931991577	132	2
CAROLUS WHISKY INFUSED 75VP   	BIERES                        	BIERE 75VP                    	2563	7.536977210045	12	2
LINDEMANS SPONTANBASIL 75VP   	BIERES                        	BIERE 75VP                    	2568	9.54074819088	209	2
STRAFFE HENDRIK HERITAGE 75VP 	BIERES                        	BIERE 75VP                    	2569	12.3	-1	2
TRAPPE QUADRUPLE OAK A 37.5VP 	BIERES                        	BIERE 37.5CL                  	2604	8.98743	26	2
BROOKLYN FRAMBOISIE SOUR 75VP 	BIERES                        	BIERE 75VP                    	2606	15.754	19	2
FRAIS DE LIVRAISON ALLER      	SERVICES                      	SERVICES FRAIS                	2609	20.8334	0	2
CAISSE BOIS 8X33CL 1/2 VIDE   	ARTICLES DIVERS               	CORBEILLES - COFFRETS- CARTONS	2629	4.615	59	2
CAISSE BOIS 8*33CL LARGE      	ARTICLES DIVERS               	CORBEILLES - COFFRETS- CARTONS	2630	4.9	42	2
